"","po_document","po_item","changed_on","short_text","material_no","company","location","matl_svcs_group","po_quantity","order_price_un","unit_price","total_li_value"
"19596",7502263004,"00014",2009-09-16,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",1,"EA",694.32,694.32
"19597",7502263004,"00015",2009-03-07,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",2,"EA",446.16,892.32
"19598",7502263004,"00016",2009-03-07,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",8,"EA",634.92,5079.36
"19599",7502263004,"00017",2009-03-07,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",2,"EA",624.36,1248.72
"19600",7502263004,"00018",2009-03-07,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",2,"EA",990,1980
"19601",7502263004,"00019",2009-09-16,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",3,"EA",4142.5,12427.5
"19602",7502263004,"00020",2009-03-07,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",3,"EA",990,2970
"19603",7502263004,"00021",2009-09-16,"FLANGE; PIPE; WN; CARBON STEEL","7000011263",2100,"Excavation Loc 010","034000",1,"EA",5998.75,5998.75
"19604",7502263004,"00022",2008-08-31,"NMR- 602 Certified  Drawings","7000012105",2100,"Excavation Loc 010","MISC",1,"EA",198,198
"19605",7502263004,"00023",2008-08-31,"NMR- 603 Misc. Documents","7000012106",2100,"Excavation Loc 010","MISC",1,"EA",198,198
"19606",7502263150,"00011",2009-02-16,"CASING: OCTG;SPL GR;SEAMLESS;DR1;TEMP.","7000010944",2100,"Excavation Loc 001","003000",66000,"EA",208.2,13741437.6
"19607",7502263150,"00012",2008-07-21,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",30,"EA",2482.75,74482.59
"19608",7502263150,"00013",2008-07-13,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",30,"EA",2519.8,75594.09
"19609",7502263150,"00014",2008-01-14,"COUPLING: SPECIALTY GRADE; DR1; TEMP.","7000010961",2100,"Excavation Loc 001","003000",100,"EA",978.5,97850.28
"19610",7502263150,"00015",2008-10-21,"CROSSOVER: SPECIALITY GRADE;DR1","7000012693",2100,"Excavation Loc 001","003000",50,"EA",3612.7,180635
"19611",7502264575,"00011",2007-12-11,"EXPANDABLE, SOLID","7000010762",2100,"Excavation Loc 001","005000",125,"EA",7765.2,970650
"19612",7502264575,"00012",2007-12-11,"EXPANDABLE, SOLID","7000010762",2100,"Excavation Loc 001","005000",3,"EA",38639.22,115917.66
"19613",7502264575,"00013",2007-12-11,"EXPANDABLE, SOLID","7000010762",2100,"Excavation Loc 001","005000",3,"EA",65416.83,196250.49
"19614",7502264603,"00011",2009-11-23,"SERVICE: PIPING COATING, EXT, FBE EPOXY","7000000539",2100,"Excavation Loc 008","021000",17433,"EA",1.98,34517.34
"19615",7502264603,"00012",2008-03-22,"SERVICE: PIPING COATING, EXT, FBE EPOXY","7000000539",2100,"Excavation Loc 008","021000",1,"EA",1.98,1.98
"19616",7502265575,"00011",2007-12-12,"CASING: OCTG;SPL GR;SEAMLESS;DR1;TEMP.","7000010944",2100,"Excavation Loc 001","003000",110000,"EA",76.43,8407080
"19617",7502265575,"00012",2007-12-12,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",10,"EA",4151.25,41512.5
"19618",7502265575,"00013",2007-12-12,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",10,"EA",4156.25,41562.5
"19619",7502265575,"00014",2007-12-12,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",10,"EA",4163.75,41637.5
"19620",7502265575,"00015",2007-12-12,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",10,"EA",4687.5,46875
"19621",7502265575,"00016",2007-12-12,"PUP JOINT: CSG; SPL GR; DR1; TEMP.","7000010992",2100,"Excavation Loc 001","003000",10,"EA",4746.25,47462.5
"19622",7502265575,"00017",2007-12-12,"COUPLING: SPECIALTY GRADE; DR1; TEMP.","7000010961",2100,"Excavation Loc 001","003000",150,"EA",1053.36,158004
"19623",7502265603,"00011",2008-04-10,"PANELBOARD; ELECTRICAL; LOW VOLTAGE;NON-","7000000860",2100,"Excavation Loc 008","062000",1,"EA",8259.17,8259.17
"19624",7502265603,"00012",2008-04-10,"PANELBOARD; ELECTRICAL; LOW VOLTAGE;NON-","7000000860",2100,"Excavation Loc 008","062000",1,"EA",4126.25,4126.25
"19625",7502265603,"00013",2007-12-12,"NMR- 601 Engineering Drawings","7000007213",2100,"Excavation Loc 008","MISC",1,"EA",456.72,456.72
"19626",7502265603,"00014",2008-04-09,"NMR- 602 Certified  Drawings","7000007214",2100,"Excavation Loc 008","MISC",1,"EA",456.72,456.72
"19627",7502265603,"00015",2008-04-09,"NMR- 603 Misc. Documents","7000007215",2100,"Excavation Loc 008","MISC",1,"EA",854.04,854.04
"19628",7502265985,"00011",2009-05-24,"PIPE; METALLIC; STEEL;FOR STRUCTURAL USE","7000011224",2100,"Excavation Loc 010","126000",4000,"ZFT",1051.17,4204675.2
"19629",7502266579,"00011",2007-12-24,"PIPE; METALLIC; STEEL;FOR STRUCTURAL USE","7000011224",2100,"Excavation Loc 010","126000",920,"ZFT",1186.64,1091709.17
"19630",7502266579,"00012",2008-07-28,"PIPE; METALLIC; 6 INCH AND LARGER; ALL;","7000007204",2100,"Excavation Loc 010","010000",8680,"ZFT",333.87,2897970.77
"19631",7502267592,"00011",2007-12-15,"BOHIMIA TILES","7000000501",2100,"Plant Loc J 003","120000",500,"LM",59.4,29700
"19632",7502267592,"00012",2007-12-15,"BOHIMIA COVER BASE","7000000501",2100,"Plant Loc J 003","120000",350,"LM",33,11550
"19633",7502267592,"00013",2007-12-15,"GROUT; BUILDING;","7000000473",2100,"Plant Loc J 003","120000",240,"BAG",31.68,7603.2
"19634",7502268180,"00011",2009-05-02,"PIPE: STEEL, SEAMLESS; 2"" X S40 API 5L B","2000000731",2100,"Store 1000","012000",12000,"FT",3.56,42768
"19635",7502268180,"00012",2009-05-02,"PIPE: CS  8"" X 0.500"" WTH API 5L GR X60","2000000788",2100,"Store 1000","012000",2000,"FT",59.27,118536
"19636",7502268180,"00013",2009-05-02,"PIPE: CS  8"" X 0.500"" WTH API 5L GR X60","2000000788",2100,"Store 1005","012000",1600,"FT",59.27,94828.8
"19637",7502268180,"00014",2009-05-02,"PIPE, METALLIC: 3 IN NPS, 5.49 MM     (","2000000742",2100,"Store 1001","012000",3000,"FT",7.41,22215.6
"19638",7502268180,"00015",2009-05-24,"PIPE, METALLIC: 3 IN NPS, 7.62 MM     (","2000000744",2100,"Excavation Loc 009","012000",3000,"FT",9.99,29977.2
"19639",7502268180,"00016",2009-05-24,"PIPE, METALLIC: 4 IN NPS, 11.13 MM    (","2000000754",2100,"Excavation Loc 009","012000",3400,"FT",18.49,62876.88
"19640",7502268180,"00017",2009-05-24,"PIPE, METALLIC: 1 IN NPS, 6.35 MM","2000000706",2100,"Construction Loc 003","012000",4080,"FT",2.8,11417.47
"19641",7502268180,"00018",2009-05-23,"PIPE; METALLIC; 6 INCH AND LARGER; STEEL","7000007205",2100,"Excavation Loc 009","010000",50000,"ZFT",201.39,10069620
"19642",7502268180,"00019",2009-05-03,"PIPE; METALLIC; 6 INCH AND LARGER; STEEL","7000007205",2100,"Excavation Loc 009","010000",2000,"ZFT",218.72,437448
"19643",7502268180,"00020",2008-12-13,"PIPE; METALLIC; 6 IN & LARGER; SEAMLESS","7000000014",2100,"Construction Loc 003","010000",51160,"ZFT",165.86,8485295.28
"19644",7502268180,"00021",2009-10-13,"NMR- 603 Misc. Documents","7000011843",2100,"Excavation Loc 009","MISC",2,"EA",0,0
